Desc,Desc - Split 1,Desc - Split 2,ID,Portion,Calcium,Calories,Carbs,Chol,Fat,Fiber,Potassium,Protein,Sodium,Sugar,Vitamin C,Water
"BUTTER,WITH SALT",BUTTER,WITH SALT,1001,"1 pat,  (1"" sq, 1/3"" high)",24,717,0.06,215,81.11,0,24,0.85,643,0.06,0,15.87
"BUTTER,WHIPPED,W/ SALT",BUTTER,WHIPPED,1002,"1 pat,  (1"" sq, 1/3"" high)",23,718,2.87,225,78.3,0,41,0.49,583,0.06,0,16.72
"BUTTER OIL,ANHYDROUS",BUTTER OIL,ANHYDROUS,1003,1 tbsp,4,876,0,256,99.48,0,5,0.28,2,0,0,0.24
"CHEESE,BLUE",CHEESE,BLUE,1004,1 oz,528,353,2.34,75,28.74,0,256,21.4,1146,0.5,0,42.41
"CHEESE,BRICK",CHEESE,BRICK,1005,"1 cup, diced",674,371,2.79,94,29.68,0,136,23.24,560,0.51,0,41.11
"CHEESE,BRIE",CHEESE,BRIE,1006,1 oz,184,334,0.45,100,27.68,0,152,20.75,629,0.45,0,48.42
"CHEESE,CAMEMBERT",CHEESE,CAMEMBERT,1007,1 oz,388,300,0.46,72,24.26,0,187,19.8,842,0.46,0,51.8
"CHEESE,CHEDDAR",CHEESE,CHEDDAR,1009,"1 cup, diced",710,404,3.09,99,33.31,0,76,22.87,653,0.48,0,37.02
"CHEESE,COLBY",CHEESE,COLBY,1011,"1 cup, diced",685,394,2.57,95,32.11,0,127,23.76,604,0.52,0,38.2
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",CHEESE,COTTAGE,1012,4 oz,83,98,3.38,17,4.3,0,104,11.12,364,2.67,0,79.79
"CHEESE,COTTAGE,CRMD,W/FRUIT",CHEESE,COTTAGE,1013,4 oz,53,97,4.61,13,3.85,0.2,90,10.69,344,2.38,1.4,79.64
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",CHEESE,COTTAGE,1014,"1 cup,  (not packed)",86,72,6.66,7,0.29,0,137,10.34,372,1.85,0,81.01
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",CHEESE,COTTAGE,1015,4 oz,111,81,4.76,12,2.27,0,125,10.45,308,4,0,81.24
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",CHEESE,COTTAGE,1016,4 oz,61,72,2.72,4,1.02,0,86,12.39,406,2.72,0,82.48
"CHEESE,CREAM",CHEESE,CREAM,1017,1 tbsp,97,350,5.52,101,34.44,0,132,6.15,314,3.76,0,52.62
"CHEESE,EDAM",CHEESE,EDAM,1018,1 oz,731,357,1.43,89,27.8,0,188,24.99,812,1.43,0,41.56
"CHEESE,FETA",CHEESE,FETA,1019,"1 cup, crumbled",493,264,4.09,89,21.28,0,62,14.21,917,4.09,0,55.22
"CHEESE,FONTINA",CHEESE,FONTINA,1020,"1 cup, diced",550,389,1.55,116,31.14,0,64,25.6,800,1.55,0,37.92
"CHEESE,GOUDA",CHEESE,GOUDA,1022,1 oz,700,356,2.22,114,27.44,0,121,24.94,819,2.22,0,41.46
"CHEESE,GRUYERE",CHEESE,GRUYERE,1023,1 oz,1011,413,0.36,110,32.34,0,81,29.81,714,0.36,0,33.19
"CHEESE,LIMBURGER",CHEESE,LIMBURGER,1024,1 cup,497,327,0.49,90,27.25,0,128,20.05,800,0.49,0,48.42
"CHEESE,MONTEREY",CHEESE,MONTEREY,1025,"1 cup, diced",746,373,0.68,89,30.28,0,81,24.48,600,0.5,0,41.01
"CHEESE,MOZZARELLA,WHL MILK",CHEESE,MOZZARELLA,1026,"1 cup, shredded",505,300,2.19,79,22.35,0,76,22.17,627,1.03,0,50.01
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",CHEESE,MOZZARELLA,1027,1 oz,575,318,2.47,89,24.64,0,75,21.6,710,1.01,0,48.38
"CHEESE,MOZZARELLA,PART SKIM MILK",CHEESE,MOZZARELLA,1028,1 oz,782,254,2.77,64,15.92,0,84,24.26,619,1.13,0,53.78
"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",CHEESE,MOZZARELLA,1029,"1 cup, diced",697,295,5.58,64,19.78,0,188,23.75,666,1.9,0,47.07
